"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29710","test_create_bs_rate_cod[BS]","src.tests","2026-08-21","broken","2026-08-21","TestRateCod","test_rate_cod","",""
"","300009","test_add_transport_service_with_expense","src.tests","2026-08-21","broken","2026-08-21","TestGuestServices","test_guest_services","",""
"","300011","test_batch_add_transport_service","src.tests","2026-08-21","broken","2026-08-21","TestGuestServices","test_guest_services","",""
"","0","test_add_transport_service_send_without_charge","src.tests","2026-08-21","skipped","2026-08-21","TestGuestServices","test_guest_services","",""
"","0","test_change_checkout_date_at_maindesk[延長-8-2024/01/08 週一-01/05-01/08]","src.tests","2026-08-21","skipped","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_header_toolbar","",""
"","24673","test_change_room_set_dirty_at_maindesk[True-保持勾選]","src.tests","2026-08-21","broken","2026-08-21","TestMaindesk","test_maindesk","",""
"","0","test_add_service_item_non_editable_price[EveryFewDays]","src.tests","2026-08-21","skipped","2026-08-21","TestGuestServices","test_guest_services","",""
"","0","test_add_transport_service_send_with_expense","src.tests","2026-08-21","skipped","2026-08-21","TestGuestServices","test_guest_services","",""
"","0","test_add_checkout_alert","src.tests","2026-08-21","skipped","2026-08-21","TestGuestDetail","test_guest_detail","",""
"","0","test_lost_and_found_change_to_claim","src.tests","2026-08-21","skipped","2026-08-21","TestLostManagement","test_lost_management","",""
"","0","test_change_room_price_at_maindesk","src.tests","2026-08-21","skipped","2026-08-21","TestMaindesk","test_maindesk","",""
"","300012","test_change_room_set_dirty_at_maindesk[False-取消勾選]","src.tests","2026-08-21","broken","2026-08-21","TestMaindesk","test_maindesk","",""
"","0","test_assign_deposit_at_maindesk","src.tests","2026-08-21","skipped","2026-08-21","TestMaindesk","test_maindesk","",""
"","3","test_rate_cod_columns_valid[DpRatOverMax]","src.tests","2026-08-21","broken","2026-08-21","TestRateCod","test_rate_cod","",""
"","8311","test_add_reservation_alert","src.tests","2026-08-21","broken","2026-08-21","TestGuestDetail","test_guest_detail","",""
"","300007","test_add_guest_other_remind_at_maindesk","src.tests","2026-08-21","broken","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_guest_function","",""
"","0","test_edit_guest","src.tests","2026-08-21","skipped","2026-08-21","TestGuestDetail","test_guest_detail","",""
"","300010","test_change_room_set_dirty_at_maindesk[True-保持勾選]","src.tests","2026-08-21","broken","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_header_toolbar","",""
"","0","test_verify_transport_service_send_expense","src.tests","2026-08-21","skipped","2026-08-21","TestGuestServices","test_guest_services","",""
"","300005","test_create_new_rate_cod[Days]","src.tests","2026-08-21","broken","2026-08-21","TestRateCod","test_rate_cod","",""
"","0","test_add_spare_parts_at_maindesk","src.tests","2026-08-21","skipped","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_header_toolbar","",""
"","29974","test_add_car_number_at_maindesk","src.tests","2026-08-21","broken","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_guest_function","",""
"","0","test_change_checkout_date_at_maindesk[延長-8-2024/01/08 週一-01/05-01/08]","src.tests","2026-08-21","skipped","2026-08-21","TestMaindesk","test_maindesk","",""
"","0","test_btn_del_precredit_disable","src.tests","2026-08-21","skipped","2026-08-21","TestGuestDetail","test_guest_detail","",""
"","0","test_add_guest_message_at_maindesk","src.tests","2026-08-21","skipped","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_guest_function","",""
"","0","test_change_room_price_at_maindesk","src.tests","2026-08-21","skipped","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_header_toolbar","",""
"","24884","test_add_found_item","src.tests","2026-08-21","broken","2026-08-21","TestLostManagement","test_lost_management","",""
"","29984","test_add_service_item_editable_price[OnePlusEveryFewDays]","src.tests","2026-08-21","broken","2026-08-21","TestGuestServices","test_guest_services","",""
"","300009","test_rent_day_in_search","src.tests","2026-08-21","broken","2026-08-21","TestLostManagement","test_lost_management","",""
"","0","test_found_change_to_claim","src.tests","2026-08-21","skipped","2026-08-21","TestLostManagement","test_lost_management","",""
"","300006","test_add_link_nos_at_maindesk","src.tests","2026-08-21","broken","2026-08-21","TestMaindesk","test_maindesk","",""
"","0","test_assign_public_account_at_maindesk","src.tests","2026-08-21","skipped","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_header_toolbar","",""
"","0","test_verify_batch_add_transport_service_data","src.tests","2026-08-21","skipped","2026-08-21","TestGuestServices","test_guest_services","",""
"","29388","test_add_link_nos_at_maindesk","src.tests","2026-08-21","broken","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_header_toolbar","",""
"","0","test_edit_guest_message_informed","src.tests","2026-08-21","skipped","2026-08-21","TestGuestDetail","test_guest_detail","",""
"","0","test_add_guest_remind_at_maindesk[退房提醒]","src.tests","2026-08-21","skipped","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_guest_function","",""
"","1","test_add_guest_remind_at_maindesk[訂房提醒]","src.tests","2026-08-21","skipped","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_guest_function","",""
"","0","test_add_todo_item","src.tests","2026-08-21","skipped","2026-08-21","TestGuestDetail","test_guest_detail","",""
"","24975","test_add_service_item_editable_price[SpecifiedDate]","src.tests","2026-08-21","broken","2026-08-21","TestGuestServices","test_guest_services","",""
"","0","test_add_guest_precredit_at_maindesk","src.tests","2026-08-21","skipped","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_guest_function","",""
"","0","test_change_to_picker_claim","src.tests","2026-08-21","skipped","2026-08-21","TestLostManagement","test_lost_management","",""
"","0","test_add_guest_profile_note_at_maindesk","src.tests","2026-08-21","skipped","2026-08-21","TestMaindeskHeaderToolbar","test_maindesk_guest_function","",""
